psgc,barangay,city
"","Tutuban Mall (Claimed by Five Barangays of Tondo, Manila)","Manila"
"","Manila North Cemetery","Manila"
"PH137401001","Addition Hills","Unknown"
"PH137401002","Bagong Silang","Unknown"
"PH137401003","Barangka Drive","Unknown"
"PH137401004","Barangka Ibaba","Unknown"
"PH137401005","Barangka Ilaya","Unknown"
"PH137401006","Barangka Itaas","Unknown"
"PH137401007","Burol","Unknown"
"PH137401008","Buayang Bato","Unknown"
"PH137401009","Daang Bakal","Unknown"
"PH137401010","Hagdang Bato Itaas","Unknown"
"PH137401011","Hagdang Bato Libis","Unknown"
"PH137401012","Harapin Ang Bukas","Unknown"
"PH137401013","Highway Hills","Unknown"
"PH137401014","Hulo","Unknown"
"PH137401015","Mabini-J. Rizal","Unknown"
"PH137401016","Malamig","Unknown"
"PH137401017","Mauway","Unknown"
"PH137401018","Namayan","Unknown"
"PH137401019","New Zañiga","Unknown"
"PH137401020","Old Zañiga","Unknown"
"PH137401021","Pag-asa","Unknown"
"PH137401022","Plainview","Unknown"
"PH137401023","Pleasant Hills","Unknown"
"PH137401024","Poblacion","Unknown"
"PH137401025","San Jose","Unknown"
"PH137401026","Vergara","Unknown"
"PH137401027","Wack-wack Greenhills","Unknown"
"PH137402001","Barangka","Unknown"
"PH137402002","Calumpang","Unknown"
"PH137402003","Concepcion Uno","Unknown"
"PH137402004","Jesus De La Peña","Unknown"
"PH137402005","Malanday","Unknown"
"PH137402006","Nangka","Unknown"
"PH137402007","Parang","Unknown"
"PH137402008","San Roque","Unknown"
"PH137402009","Santa Elena (Pob.)","Unknown"
"PH137402010","Santo Niño","Unknown"
"PH137402011","Tañong","Unknown"
"PH137402012","Concepcion Dos","Unknown"
"PH137402013","Marikina Heights (Concepcion)","Unknown"
"PH137402014","Industrial Valley","Unknown"
"PH137402015","Fortune","Unknown"
"PH137402016","Tumana","Unknown"
"PH137403001","Bagong Ilog","Unknown"
"PH137403002","Bagong Katipunan","Unknown"
"PH137403003","Bambang","Unknown"
"PH137403004","Buting","Unknown"
"PH137403005","Caniogan","Unknown"
"PH137403006","Dela Paz","Unknown"
"PH137403007","Kalawaan","Unknown"
"PH137403008","Kapasigan","Unknown"
"PH137403009","Kapitolyo","Unknown"
"PH137403010","Malinao","Unknown"
"PH137403011","Manggahan","Unknown"
"PH137403012","Maybunga","Unknown"
"PH137403013","Oranbo","Unknown"
"PH137403014","Palatiw","Unknown"
"PH137403015","Pinagbuhatan","Unknown"
"PH137403016","Pineda","Unknown"
"PH137403017","Rosario","Unknown"
"PH137403018","Sagad","Unknown"
"PH137403019","San Antonio","Unknown"
"PH137403020","San Joaquin","Unknown"
"PH137403021","San Jose","Unknown"
"PH137403022","San Miguel","Unknown"
"PH137403023","San Nicolas (Pob.)","Unknown"
"PH137403024","Santa Cruz","Unknown"
"PH137403025","Santa Rosa","Unknown"
"PH137403026","Santo Tomas","Unknown"
"PH137403027","Santolan","Unknown"
"PH137403028","Sumilang","Unknown"
"PH137403029","Ugong","Unknown"
"PH137403030","Santa Lucia","Unknown"
"PH137404023","New Era (Constitution Hills)","Quezon City"
"PH137404042","N.S. Amoranto (Gintong Silahis)","Quezon City"
"PH137404065","Santo Domingo (Matalahib)","Quezon City"
"PH137404079","Pasong Putik Proper (Pasong Putik)","Quezon City"
"PH137405001","Addition Hills","Unknown"
"PH137405002","Balong-Bato","Unknown"
"PH137405003","Batis","Unknown"
"PH137405004","Corazon De Jesus","Unknown"
"PH137405005","Ermitaño","Unknown"
"PH137405006","Halo-halo (St. Joseph)","Unknown"
"PH137405007","Isabelita","Unknown"
"PH137405008","Kabayanan","Unknown"
"PH137405009","Little Baguio","Unknown"
"PH137405010","Maytunas","Unknown"
"PH137405011","Onse","Unknown"
"PH137405012","Pasadeña","Unknown"
"PH137405013","Pedro Cruz","Unknown"
"PH137405014","Progreso","Unknown"
"PH137405015","Rivera","Unknown"
"PH137405016","Salapan","Unknown"
"PH137405017","San Perfecto","Unknown"
"PH137405018","Santa Lucia","Unknown"
"PH137405019","Tibagan","Unknown"
"PH137405020","West Crame","Unknown"
"PH137405021","Greenhills","Unknown"
"PH137501001","Barangay 1","Unknown"
"PH137501002","Barangay 2","Unknown"
"PH137501003","Barangay 3","Unknown"
"PH137501004","Barangay 4","Unknown"
"PH137501005","Barangay 5","Unknown"
"PH137501006","Barangay 6","Unknown"
"PH137501007","Barangay 7","Unknown"
"PH137501008","Barangay 8","Unknown"
"PH137501009","Barangay 9","Unknown"
"PH137501010","Barangay 10","Unknown"
"PH137501011","Barangay 11","Unknown"
"PH137501012","Barangay 12","Unknown"
"PH137501013","Barangay 13","Unknown"
"PH137501014","Barangay 14","Unknown"
"PH137501015","Barangay 15","Unknown"
"PH137501016","Barangay 16","Unknown"
"PH137501017","Barangay 17","Unknown"
"PH137501018","Barangay 18","Unknown"
"PH137501019","Barangay 19","Unknown"
"PH137501020","Barangay 20","Unknown"
"PH137501021","Barangay 21","Unknown"
"PH137501022","Barangay 22","Unknown"
"PH137501023","Barangay 23","Unknown"
"PH137501024","Barangay 24","Unknown"
"PH137501025","Barangay 25","Unknown"
"PH137501026","Barangay 26","Unknown"
"PH137501027","Barangay 27","Unknown"
"PH137501028","Barangay 28","Unknown"
"PH137501029","Barangay 29","Unknown"
"PH137501030","Barangay 30","Unknown"
"PH137501031","Barangay 31","Unknown"
"PH137501032","Barangay 32","Unknown"
"PH137501033","Barangay 33","Unknown"
"PH137501034","Barangay 34","Unknown"
"PH137501035","Barangay 35","Unknown"
"PH137501036","Barangay 36","Unknown"
"PH137501037","Barangay 37","Unknown"
"PH137501038","Barangay 38","Unknown"
"PH137501039","Barangay 39","Unknown"
"PH137501040","Barangay 40","Unknown"
"PH137501041","Barangay 41","Unknown"
"PH137501042","Barangay 42","Unknown"
"PH137501043","Barangay 43","Unknown"
"PH137501044","Barangay 44","Unknown"
"PH137501045","Barangay 45","Unknown"
"PH137501046","Barangay 46","Unknown"
"PH137501047","Barangay 47","Unknown"
"PH137501048","Barangay 48","Unknown"
"PH137501049","Barangay 49","Unknown"
"PH137501050","Barangay 50","Unknown"
"PH137501051","Barangay 51","Unknown"
"PH137501052","Barangay 52","Unknown"
"PH137501053","Barangay 53","Unknown"
"PH137501054","Barangay 54","Unknown"
"PH137501055","Barangay 55","Unknown"
"PH137501056","Barangay 56","Unknown"
"PH137501057","Barangay 57","Unknown"
"PH137501058","Barangay 58","Unknown"
"PH137501059","Barangay 59","Unknown"
"PH137501060","Barangay 60","Unknown"
"PH137501061","Barangay 61","Unknown"
"PH137501062","Barangay 62","Unknown"
"PH137501063","Barangay 63","Unknown"
"PH137501064","Barangay 64","Unknown"
"PH137501065","Barangay 65","Unknown"
"PH137501066","Barangay 66","Unknown"
"PH137501067","Barangay 67","Unknown"
"PH137501068","Barangay 68","Unknown"
"PH137501069","Barangay 69","Unknown"
"PH137501070","Barangay 70","Unknown"
"PH137501071","Barangay 71","Unknown"
"PH137501072","Barangay 72","Unknown"
"PH137501073","Barangay 73","Unknown"
"PH137501074","Barangay 74","Unknown"
"PH137501075","Barangay 75","Unknown"
"PH137501076","Barangay 76","Unknown"
"PH137501077","Barangay 77","Unknown"
"PH137501078","Barangay 78","Unknown"
"PH137501079","Barangay 79","Unknown"
"PH137501080","Barangay 80","Unknown"
"PH137501081","Barangay 81","Unknown"
"PH137501082","Barangay 82","Unknown"
"PH137501083","Barangay 83","Unknown"
"PH137501084","Barangay 84","Unknown"
"PH137501085","Barangay 85","Unknown"
"PH137501086","Barangay 86","Unknown"
"PH137501087","Barangay 87","Unknown"
"PH137501088","Barangay 88","Unknown"
"PH137501089","Barangay 89","Unknown"
"PH137501090","Barangay 90","Unknown"
"PH137501091","Barangay 91","Unknown"
"PH137501092","Barangay 92","Unknown"
"PH137501093","Barangay 93","Unknown"
"PH137501094","Barangay 94","Unknown"
"PH137501095","Barangay 95","Unknown"
"PH137501096","Barangay 96","Unknown"
"PH137501097","Barangay 97","Unknown"
"PH137501098","Barangay 98","Unknown"
"PH137501099","Barangay 99","Unknown"
"PH137501100","Barangay 100","Unknown"
"PH137501101","Barangay 101","Unknown"
"PH137501102","Barangay 102","Unknown"
"PH137501103","Barangay 103","Unknown"
"PH137501104","Barangay 104","Unknown"
"PH137501105","Barangay 105","Unknown"
"PH137501106","Barangay 106","Unknown"
"PH137501107","Barangay 107","Unknown"
"PH137501108","Barangay 108","Unknown"
"PH137501109","Barangay 109","Unknown"
"PH137501110","Barangay 110","Unknown"
"PH137501111","Barangay 111","Unknown"
"PH137501112","Barangay 112","Unknown"
"PH137501113","Barangay 113","Unknown"
"PH137501114","Barangay 114","Unknown"
"PH137501115","Barangay 115","Unknown"
"PH137501116","Barangay 116","Unknown"
"PH137501117","Barangay 117","Unknown"
"PH137501118","Barangay 118","Unknown"
"PH137501119","Barangay 119","Unknown"
"PH137501120","Barangay 120","Unknown"
