10-digit PSGC,Name,Geographic Level
1300000000,National Capital Region (NCR),Reg
1380100000,City of Caloocan,City
1380100001,Barangay 1,Bgy
1380100002,Barangay 2,Bgy
1380100003,Barangay 3,Bgy
1380100004,Barangay 4,Bgy
1380100005,Barangay 5,Bgy
1380100006,Barangay 6,Bgy
1380100007,Barangay 7,Bgy
1380100008,Barangay 8,Bgy
1380100009,Barangay 9,Bgy
1380100010,Barangay 10,Bgy
1380100011,Barangay 11,Bgy
1380100012,Barangay 12,Bgy
1380100013,Barangay 13,Bgy
1380100014,Barangay 14,Bgy
1380100015,Barangay 15,Bgy
1380100016,Barangay 16,Bgy
1380100017,Barangay 17,Bgy
1380100018,Barangay 18,Bgy
1380100019,Barangay 19,Bgy
1380100020,Barangay 20,Bgy
1380100021,Barangay 21,Bgy
1380100022,Barangay 22,Bgy
1380100023,Barangay 23,Bgy
1380100024,Barangay 24,Bgy
1380100025,Barangay 25,Bgy
1380100026,Barangay 26,Bgy
1380100027,Barangay 27,Bgy
1380100028,Barangay 28,Bgy
1380100029,Barangay 29,Bgy
1380100030,Barangay 30,Bgy
1380100031,Barangay 31,Bgy
1380100032,Barangay 32,Bgy
1380100033,Barangay 33,Bgy
1380100034,Barangay 34,Bgy
1380100035,Barangay 35,Bgy
1380100036,Barangay 36,Bgy
1380100037,Barangay 37,Bgy
1380100038,Barangay 38,Bgy
1380100039,Barangay 39,Bgy
1380100040,Barangay 40,Bgy
1380100041,Barangay 41,Bgy
1380100042,Barangay 42,Bgy
1380100043,Barangay 43,Bgy
1380100044,Barangay 44,Bgy
1380100045,Barangay 45,Bgy
1380100046,Barangay 46,Bgy
1380100047,Barangay 47,Bgy
1380100048,Barangay 48,Bgy
1380100049,Barangay 49,Bgy
1380100050,Barangay 50,Bgy
1380100051,Barangay 51,Bgy
1380100052,Barangay 52,Bgy
1380100053,Barangay 53,Bgy
1380100054,Barangay 54,Bgy
1380100055,Barangay 55,Bgy
1380100056,Barangay 56,Bgy
1380100057,Barangay 57,Bgy
1380100058,Barangay 58,Bgy
1380100059,Barangay 59,Bgy
1380100060,Barangay 60,Bgy
1380100061,Barangay 61,Bgy
